Gene	logConc	logFC	LR.statistic	p.value	FDR
SPU_000003	4.90284388478366	0.186247317127738	1.71545603022975	0.190279005942794	0.437754497746272
SPU_000007	2.3967095459352	-0.759537059421556	6.17596750535258	0.0129497077506769	0.0762494021089267
SPU_000008	3.03512972259675	-0.247056647077294	0.749102333266066	0.386760586262783	0.649858733851006
SPU_000011	0.479874986673433	0.184051517130375	0.487807422755506	0.484906996516622	0.725800175396479
SPU_000013	4.36040879110046	-0.239921378357181	3.45642467480635	0.0630064150911925	0.221334257555662
SPU_000016	-0.299570344163517	-0.371807477132424	0.442913258328512	0.505719690895712	0.742388062986477
SPU_000017	2.75232374814486	0.21580117254729	0.95530253967251	0.328373244075403	0.59735636931894
SPU_000022	8.7504694483928	0.0785626233766784	0.420599595225184	0.516638009461294	0.751606143707815
SPU_000023	2.26278958556929	0.187803598966594	0.340617401480044	0.559473062717452	0.780800376069102
SPU_000024	6.14617546666275	-0.40889777041917	5.47536788784339	0.0192863008959546	0.101314556983485
SPU_000025	2.78383293853544	-0.0715046226458491	0.0638129724056108	0.800567826819757	0.916566244647259
SPU_000026	4.81824660901595	0.281792470047032	3.33529986007964	0.0678080458912296	0.231892379731741
SPU_000032	3.01351254419924	0.65573185276023	6.1604423795469	0.0130638532103769	0.0765327326947288
SPU_000033	0.639413588171304	-0.422146254515023	0.346176836863954	0.556285349791902	0.779026390599128
SPU_000034	4.52760791037718	-0.418443997587224	7.97618076008553	0.004739683085658	0.0373476667186822
SPU_000035	7.61033395234818	0.0563923202581079	0.208075014783107	0.648280389504069	0.838103211103521
SPU_000037	4.73074265286222	-0.714569546943458	21.6546182622268	3.26423150185639e-06	0.000100362938713794
SPU_000040	3.2201233004593	1.11555700706925	35.8083725752937	2.17710285919206e-09	1.47388841453284e-07
SPU_000042	4.2359520195015	-0.00913786397876717	0.00342984410329372	0.953298691597687	0.981126767028667
SPU_000043	4.49807221999408	-0.0413475130457145	0.0614372653124798	0.8042385377197	0.918382466143733
SPU_000044	4.0707879959603	-0.310812049658238	3.93607907352184	0.0472608108678124	0.185644481807097
SPU_000046	4.66965524954895	-0.035221994381296	0.0576608551324811	0.810231998793419	0.920638451551261
SPU_000048	7.46684751354656	-0.172841232068246	2.14160779139588	0.143351583528199	0.370070041195365
SPU_000049	3.42005818875756	0.202207585518794	1.44516613388149	0.229305173766189	0.489227768823417
SPU_000052	3.07068838791302	-0.154980546409089	0.640395794454197	0.423567510608926	0.681755051119624
SPU_000053	8.88327308276902	-0.738816243762173	38.2411739924169	6.25192143618223e-10	4.84691973708321e-08
SPU_000054	4.19035439685885	-0.147360135227847	0.581973686325215	0.445539737137915	0.699399413186232
SPU_000055	4.59371399390912	0.0400062715095598	0.0576834400270179	0.810195546762897	0.920638451551261
SPU_000056	2.46268158656397	-0.102636002199688	0.306093476804561	0.580087336518418	0.794609992647058
SPU_000060	2.67011963372771	0.377530357126579	1.76517390262837	0.183980476094477	0.428732783659076
SPU_000061	6.22110796910205	-0.757103272255571	36.8303955180089	1.28865404849484e-09	9.3378851152239e-08
SPU_000062	11.5644462168101	-0.577652839968989	25.6756864792767	4.03883586877655e-07	1.55306701940688e-05
SPU_000067	3.67030866713988	0.240213725385592	1.16041618255637	0.28137924456226	0.548754220528508
SPU_000069	4.58924793100443	-0.400547376557864	7.28446058230095	0.0069553612790502	0.0494313995287846
SPU_000073	2.0648776640353	1.49468190052199	26.9330208078664	2.10629375143549e-07	8.57987454680784e-06
SPU_000074	5.01647456183856	0.274753981653352	3.54911747295985	0.0595771293525952	0.213813391056352
SPU_000075	6.22996235409896	0.199347750389709	2.77824007122572	0.0955531163044161	0.287536714755776
SPU_000076	-1.26516487406352	0.0715742104916544	-0.024453320557992	1	1
SPU_000077	6.33836150268997	0.371102248341123	9.25137189681526	0.00235319071855507	0.0223096713751243
SPU_000080	1.721233305037	0.0723403058446796	0.0188064672837629	0.89092276484978	0.955644198108671
SPU_000084	3.60895786985607	0.235590871960366	2.48081362766239	0.115242623367299	0.323181374748435
SPU_000088	2.96836335712463	-0.0130722098925405	0.00132232032099489	0.970992340211658	0.987932194573556
SPU_000089	3.23004935666858	-0.894804359394682	3.7114678367188	0.0540398484731796	0.200873801403048
SPU_000091	7.72338052013005	-0.358836025951017	9.22521614049718	0.00238704513053031	0.022556481508681
SPU_000094	5.12668925922512	0.212680075250631	2.87128202339799	0.090173013545654	0.277603513093153
SPU_000095	4.85842647857307	0.135419288284279	0.264685153852187	0.606919507999546	0.810418981343299
SPU_000096	4.94676913521798	-0.0430028025194296	0.0573787910869865	0.810687887772807	0.920844375083409
SPU_000098	4.79909438715492	-0.138346779848668	1.09763241472703	0.294786278009422	0.563798057076065
SPU_000101	5.15911210076195	-0.369088184668469	9.92116049022819	0.00163389329757553	0.0170482933075537
SPU_000105	3.87412749614976	0.283272821044351	4.34408596830971	0.0371376965947093	0.159287800385398
SPU_000109	4.33777679159078	-0.759649126386773	3.49716555321296	0.0614739586798228	0.217955689440324
SPU_000119	5.88872687077434	0.54456657126858	6.65052097726096	0.00991268360974256	0.0629711642434832
SPU_000121	-0.0348580308738302	0.474108611939626	0.79424403078344	0.372819901052252	0.636521782284333
SPU_000122	3.45567833317351	0.464451719745603	3.34309635313061	0.067487499326417	0.231239983011245
SPU_000127	4.1859836262343	-0.189723976202685	1.38269907576381	0.239641931092512	0.502037751207829
SPU_000128	9.0119516393053	-0.0833517076542732	0.499933612724089	0.479529293630199	0.722098205320328
SPU_000129	3.36029663313604	-0.13277256595494	0.384639292480186	0.535130763905555	0.763489226824786
SPU_000130	4.48654009559557	-0.388357871557166	3.59703126899105	0.057882850010198	0.209927237713042
SPU_000131	4.32740344055582	-0.0594524869001098	0.0393610682435188	0.842735058634081	0.936877615103188
SPU_000134	1.27385794130587	0.761690872204265	1.53996144163165	0.214623544586878	0.471912926422187
SPU_000135	3.58092877525158	-0.0143532276856339	0.0117180545571526	0.913797412781057	0.964347781518191
SPU_000138	4.28360611876844	0.0611813636481515	0.141788432755337	0.706509501856962	0.869717177460935
SPU_000139	4.94017088697901	-0.380375744659858	2.09652529121299	0.147634309868296	0.376527546568946
SPU_000142	5.93041659047053	0.035677380383334	0.0789975769631068	0.778660487142401	0.90755611256009
SPU_000144	5.88753131256942	-0.650261174010304	29.4982268906946	5.59678813311362e-08	2.70824445904357e-06
SPU_000145	4.36162518608279	-0.00260433779559451	0.00047887258593704	0.982541159858228	0.993491698021131
SPU_000146	4.2196781595752	0.480095345967802	13.4562198821705	0.000244195266801557	0.00375004871914638
SPU_000151	5.89421654998903	-0.55130836630695	18.2590794717707	1.92804730650499e-05	0.000448426486448418
SPU_000152	3.45331060625239	-0.165550424130601	0.924398396666096	0.33632274097964	0.605616124491311
SPU_000157	-2.19558808290003	1.01449130953479	3.53041453156383	0.0602527223453554	0.215487166721236
SPU_000159	6.55647328674216	-0.29465627388247	4.55949297646779	0.0327367635945966	0.14646730717781
SPU_000164	4.56043626891963	-0.591603840936541	8.94561873094797	0.00278135869778014	0.0252087947341229
SPU_000166	5.03167160082795	0.151364727468232	1.23952588817821	0.265562446296011	0.530903989406416
SPU_000167	2.88054286233139	1.46314868507932	42.6689020638082	6.48348771937478e-11	6.23279286089228e-09
SPU_000168	6.01539801540961	0.059311152997097	0.223671508695398	0.636256540558889	0.830450698303691
SPU_000169	3.41142378071133	0.171508012203985	1.36972363617491	0.241859372501394	0.504527955942122
SPU_000170	7.54704749536452	-0.148863823236004	1.70603179866606	0.19150103483788	0.439053357214846
SPU_000171	7.56057902195156	-0.171543335801118	2.11599508871584	0.145767279402363	0.373218069776648
SPU_000172	3.76743438688075	-0.124109593139127	0.455184328861296	0.499883225762242	0.738178813670408
SPU_000173	2.62780671114825	-0.0767397028265095	0.0211466574445067	0.884380140605226	0.953443851127907
SPU_000174	6.44512274015466	-0.503375486592194	17.1247089020402	3.50039401896987e-05	0.000730472963148272
SPU_000176	5.57654201962498	-0.0510069309818977	0.195053919559117	0.658743154348285	0.844146863941709
SPU_000178	6.37042028200189	0.0911792290831498	0.555021941160938	0.456272960933765	0.706857916077828
SPU_000181	1.87305324713121	-0.609257623523499	1.38708624265082	0.238897780394505	0.501077235387456
SPU_000183	1.46574515401057	0.020991952589212	0.00785314009494709	0.929385546510868	0.971351712740938
SPU_000184	5.92164123750281	0.625205026831862	17.0005532264834	3.73689285523102e-05	0.000771658956646189
SPU_000185	-0.830480435507845	1.64345218509125	6.55913452798758	0.0104347104308018	0.0652377019996869
SPU_000186	-0.271070462939671	0.194295464923424	0.191576846333424	0.661607449744235	0.845778317846796
SPU_000187	6.8619365718761	-0.208098145940347	2.84385877975835	0.0917236997499037	0.280608826301167
SPU_000188	3.45014154216587	0.140730104996287	0.379758192070547	0.537732676262891	0.765988635936053
SPU_000189	1.55155318099335	0.335673108204937	0.992316503645377	0.319176859111924	0.588558862965978
SPU_000191	7.852597621049	0.108142195699622	0.750550633952006	0.386301952790223	0.649358478484168
SPU_000195	5.51108512883868	0.167705864372557	1.60542174073061	0.205136560218591	0.459456693898104
SPU_000201	0.331178573418312	-1.31166740248133	3.71117711158721	0.0540492614038714	0.200873801403048
SPU_000202	3.86315646808089	0.163314011989545	1.09794890706862	0.294716674474789	0.563798057076065
SPU_000206	5.40002854968002	0.00292413326377523	0.000464093905684651	0.982812630922144	0.993491698021131
SPU_000207	0.135376586038731	0.491938029667965	0.727217319596662	0.393786653215087	0.655250812296509
SPU_000208	2.51775429994963	-0.159981481757895	0.782958280128538	0.376237916838372	0.639706492254371
SPU_000209	3.27818811926879	-0.272401416424658	0.563524734293226	0.452843549491289	0.704592714101599
SPU_000210	1.80770562414505	0.35378007305939	3.81998574134679	0.0506446691502313	0.192995805799771
SPU_000212	4.18808038926983	0.0139409110021863	0.0100980307047203	0.919956148606236	0.967597933107361
SPU_000213	4.51710793112914	0.0126924708277296	0.00319965021393642	0.954891356799309	0.981469820769629
SPU_000214	0.936068847926842	0.121960562911959	0.170167097903277	0.679963345184926	0.855900509566421
SPU_000215	1.97998321731715	-0.198357796771482	0.245465436809111	0.620286258226738	0.81924600143154
SPU_000216	2.98706696556079	-0.182630850466783	0.879999506437149	0.348201814596019	0.616050054559497
SPU_000217	3.69005286850312	-0.102563356418581	0.403976678804438	0.525042647536599	0.757035794168359
SPU_000225	3.32105440378376	-0.438090370204935	5.49481871505111	0.0190729051480563	0.100596668703355
SPU_000227	3.01743157609139	-0.314148923502799	1.40875067965203	0.235263898258718	0.496758287693853
SPU_000232	3.51757011515995	0.0391601280996247	0.0370162948072252	0.847431874801036	0.938625672834391
SPU_000236	8.70091170867445	0.019760612862018	0.0307376010267768	0.860827080102312	0.944754280772916
SPU_000239	4.90505127101773	-0.364598253096088	3.28613504641488	0.0698673039657892	0.236665849938144
SPU_000240	1.60244806590553	0.875219674387688	6.79821580992707	0.00912490143488633	0.0596739585900503
SPU_000241	5.33367447438127	0.109922456908764	0.931809555685479	0.334393154210072	0.603649134164901
SPU_000242	8.18730543868408	0.00261679969088283	0.000423897638498261	0.983573695160964	0.993703684174392
SPU_000243	4.77542755866958	0.20826872802405	2.91305794819091	0.0878651310939029	0.273240282590917
SPU_000244	5.37508169851363	0.358740024141692	9.55217906002885	0.00199712192627452	0.0198747399426353
SPU_000245	4.36880211175655	-0.140672218929618	1.09044451701241	0.296372739266811	0.565154046578605
SPU_000246	2.7711318787065	0.0641720225474653	0.0704747647789232	0.790646773578299	0.912264910709503
SPU_000247	2.24086953036475	-1.20635078146966	6.10188137510585	0.0135038040178564	0.0784864385076539
SPU_000249	0.69584616122091	0.200777130541883	0.231328968446645	0.630540164571649	0.826956723339989
SPU_000250	5.44465324458962	-0.281999930732826	3.3520080432033	0.0671230850290245	0.230346236582231
SPU_000251	1.21201808275835	-0.478782978882256	0.811237913433173	0.367754514155674	0.632139717978879
SPU_000252	5.67672876118377	0.0696170699877169	0.368625166921233	0.543754625280009	0.770078736646802
SPU_000253	2.1501257087072	0.309111427068231	1.03241135307052	0.309592982352768	0.578518654113639
SPU_000255	0.608504453581441	-1.29292045290241	8.17440730175137	0.00424855493853232	0.0344959531296116
SPU_000256	2.51717465369678	0.461472133372122	4.01666976607857	0.0450525909699341	0.180212388099675
SPU_000257	3.55952930766427	-0.161571436993164	1.11732458978549	0.290495269125774	0.559794438165664
SPU_000258	-0.329827663859551	1.2073292155028	3.34172206954806	0.0675438840806771	0.231239983011245
SPU_000260	4.39601594195972	0.0428889306464528	0.0895993693286796	0.76468709363588	0.901617979577219
SPU_000262	4.16687985756569	0.549725934409314	14.2134758798769	0.000163197596694295	0.00269874924808685
SPU_000268	2.99370446826248	0.0188051506857775	0.00931441773892572	0.923114554394801	0.969082110830884
SPU_000270	3.59341740037677	-0.181130387327761	0.992513545392728	0.31912881706896	0.588545535507662
SPU_000273	3.14138137638935	-0.0579794265245632	0.0446817861851327	0.832590241777707	0.93091038896135
SPU_000276	1.06694336022206	-1.57902040894619	22.0662669342641	2.6339802168302e-06	8.36002758317138e-05
SPU_000277	4.55476244297384	0.107358642153613	0.568601898672757	0.45081502003909	0.703300834451053
SPU_000278	3.48606160249399	-0.0533678325418634	0.109989756919308	0.740155797705392	0.887128800840474
SPU_000279	4.6883380667397	-0.0684605825107565	0.163447703254508	0.686001934164415	0.858344865877729
SPU_000280	2.54542507578671	0.539112940985799	11.8223310072553	0.000585245455153444	0.00754176895738398
SPU_000281	6.00931720956675	0.299794740190036	3.03028754879136	0.0817235320581931	0.261244467549424
SPU_000282	5.50208077734546	-0.00540857934013365	0.00180504666542014	0.96611139899265	0.985993973874236
SPU_000283	1.82946836695373	0.0476520649945353	0.0249879947890381	0.874396979305464	0.949487065512785
SPU_000285	5.6900103990002	0.112318522384889	0.483309560380148	0.486927033860458	0.727389187637812
SPU_000287	3.50051102053478	-0.521723818737837	15.8909285028438	6.70995632197966e-05	0.0012748032959545
SPU_000288	3.84664401980783	0.301817678180928	1.54308497442912	0.214159196406384	0.471532670947585
SPU_000295	4.97146168443958	0.178556688236177	1.46551075431406	0.226055333414655	0.485438258799602
SPU_000296	4.9014301958229	0.817319852216439	37.7459302700742	8.05846619520754e-10	6.05224388202567e-08
SPU_000297	4.28218771077449	-0.178679239337267	1.70936475047964	0.191067811620891	0.438660868389046
SPU_000298	1.63749210989727	-0.411414123110351	0.978173903698757	0.322650056120158	0.592236808431289
SPU_000299	5.91458827258671	0.141735065712598	1.10594888128807	0.292964270236656	0.562278733383437
SPU_000301	1.15961115578189	0.502161591904842	1.85970700092429	0.172658620363393	0.413508936329534
SPU_000303	7.31049367598608	-0.0818129754584012	0.405911143128082	0.524052177569988	0.756363967626787
SPU_000305	0.967615303493592	0.476067715698237	1.21196414745554	0.270943476106675	0.536971540057484
SPU_000308	0.345574960984515	1.69326897243353	39.7398204063182	2.90148960804476e-10	2.44675322502956e-08
SPU_000310	5.52125759266837	-0.0448607146815563	0.109133050918363	0.741133311776454	0.887641577168426
SPU_000311	2.13452753140022	-0.837023448578083	8.94016813125937	0.00278967041692679	0.025268245861862
SPU_000312	4.27216319057812	-0.209888528051814	1.52242194906704	0.217253347767341	0.474574740177608
SPU_000313	4.93901518794612	-0.274253697694714	3.76774679352346	0.0522499732383251	0.197144896770419
SPU_000315	2.80537840108055	-1.43911939000994	7.51422105503944	0.00612137512470353	0.0450381324889008
SPU_000316	3.41657599424668	-0.0238678020169868	0.021475302073963	0.883491531926054	0.95308954068779
SPU_000318	3.99695265800277	0.533055044738904	4.30772121509365	0.0379397512612142	0.161479106607647
SPU_000319	2.83968774496951	-0.0604964065250723	0.024015809642064	0.876844691484646	0.950810549175041
SPU_000320	2.87438383365802	-0.212627110860048	0.562887782365361	0.453099045621645	0.704592714101599
SPU_000321	7.88780824727698	0.11504030342684	0.734308131951027	0.391490309554699	0.653617027182907
SPU_000322	5.12543034864162	-0.0498456277954901	0.186897289716455	0.66551162050927	0.848771286034919
SPU_000326	0.730045930143582	0.249464734132839	0.177637562322629	0.673411392367719	0.852546708140656
SPU_000329	3.4959686242397	0.156562725920065	0.267579784094744	0.604959913433448	0.809670644147429
SPU_000333	3.88908663592051	0.178449324558688	1.23076333036645	0.267258639845453	0.532743929578577
SPU_000334	4.94410635030223	-0.0644216195907029	0.165506830602117	0.684136298107004	0.857580176873872
SPU_000335	4.92244679493713	-0.0168926232547935	0.0041523804796979	0.948620703233997	0.979581050097652
SPU_000336	3.29200635982992	-0.164396809613398	0.521796637418876	0.470076292265239	0.715886118322404
SPU_000338	4.29912684572268	-0.149801060695151	0.494710601404118	0.481833504089564	0.723754075934533
SPU_000339	3.7302572668842	-0.0675205869969985	0.0959895866368364	0.75669642505138	0.897923177192306
SPU_000342	3.53519912633669	-0.370138608237308	3.25411032485436	0.0712445897507148	0.239586516838924
SPU_000345	2.67513425267864	0.0438996687022239	0.0595170875646138	0.807260837532027	0.919631954274912
SPU_000346	1.02394307220472	-0.9532458209543	2.30566374299291	0.128903206641713	0.346658754153954
SPU_000352	2.51285013125633	0.752094780003235	5.64774876865491	0.0174777960957572	0.0943225373131806
SPU_000353	3.3225884242461	-0.138409706101793	0.645702221462738	0.421653451460885	0.680268826366745
SPU_000354	3.44321421055478	0.428144661784152	1.82491272815918	0.17672961237622	0.419427421077205
SPU_000355	3.38482833179371	-0.622347664364438	6.27879246902178	0.012219133340489	0.0729908462178342
SPU_000360	0.908179048110856	0.225741397035871	0.134043638246744	0.714275754493698	0.874016250160238
SPU_000361	4.59198985517959	0.233766190523968	2.39634605322263	0.12161902626016	0.334565243761548
SPU_000363	5.46271923714021	-0.270380920536744	2.97438211505653	0.0845924231578421	0.266569655143375
SPU_000364	1.87794281100581	0.116302743038865	0.112667783652874	0.737127106464192	0.885668993049571
SPU_000371	3.34219463825155	-0.194721774070816	1.41632631629314	0.234009021039657	0.495495661559955
SPU_000372	-0.130223927621089	0.479778455909067	1.02293293878163	0.311824316650909	0.580961203236509
SPU_000376	1.22536888933295	0.0106323506925959	0.00233553683079868	0.961455324285031	0.984599210670936
SPU_000377	3.49716051604342	-0.194131756450241	0.602254162177963	0.437719251303071	0.693540446521293
SPU_000379	10.0485744112831	-0.344206108732916	8.17972865324381	0.00423610963128167	0.0344488447901351
SPU_000380	2.85371192542118	-0.277872490942067	0.944118821872193	0.331220832311225	0.600089502289218
SPU_000381	2.09474421953477	0.448330111235026	1.94077962892032	0.163583908217762	0.401648213264111
SPU_000382	3.16676294139024	0.15406743004929	0.43613608216964	0.508993324140513	0.744691937307852
SPU_000383	3.14751679264453	0.395943087664138	2.69633436475832	0.100579253630727	0.296717028918796
SPU_000392	5.71050456391383	0.242478333891906	2.82127082214457	0.0930227270329198	0.282278561408818
SPU_000393	3.94259548376318	0.549475371457262	3.56295410250864	0.0590825049751964	0.212673420305125
SPU_000394	8.46933252872729	-0.0859923708795798	0.560823437373771	0.453928657303284	0.704862238520065
SPU_000395	9.17825042821301	-0.180203858214887	2.60754965018711	0.106355984515657	0.308017753281787
SPU_000396	1.79149402276573	0.264404047977527	1.32082672078248	0.250443734051581	0.515104641994551
SPU_000397	0.715169730357681	0.287963457518914	0.432428592426867	0.510799674821211	0.746150760679287
SPU_000403	4.45871516145743	-0.0453859510052984	0.0484473984055693	0.825787280239592	0.927330626980369
SPU_000405	5.52474228002052	-0.619960775280233	24.4816104130274	7.50224791979644e-07	2.69110485083245e-05
SPU_000408	1.88115288970005	0.0716510718533963	0.0932558933651403	0.760078062933116	0.899134839387505
SPU_000415	3.48906456632674	0.627935793573534	2.16004287843391	0.141640737746217	0.367282761787529
SPU_000417	4.39527726568226	0.217454943754836	2.11894895437919	0.145486355390544	0.372763547393683
SPU_000421	0.570529639518514	0.661882342223686	1.17033923089557	0.279331548665216	0.546683079770958
SPU_000422	4.55845583834013	-0.0688841113612775	0.0952697762556478	0.757581677049936	0.898469911084423
SPU_000424	3.00142906945274	-0.422614396879107	1.31293713577396	0.251863558747524	0.516331037409623
SPU_000427	5.17707225065876	0.370252822344861	5.67893658838359	0.0171697712212414	0.0932201445201242
SPU_000429	1.91404382667662	0.442430447001145	1.75718403397844	0.184976142152931	0.430288106121192
