India_13,2013-01-11,2013-01-29,none
Chicago_13,2013-01-07,2013-01-11,none
Mexico_13,2013-01-05,2013-01-10,none
NYU_13,2013-01-19,2013-01-21,none
OTS_14,2014-01-08,2014-01-14,none
Ascona_14,2014-01-18,2014-01-21,none
AnyaGrd_14,2014-01-30,2014-01-31,none
PuertRic_14,2014-01-08,2014-01-16,none
WOSA_14,2014-01-11,2014-01-21,none
Camb-Sin_14,2014-01-21,2014-01-02,none
Yucatan_14,2014-01-20,2015-01-01,none
Teubing_15,2015-01-27,2015-01-29,none
England_15,2015-01-08,2015-01-12,none
Dublin_15,2015-01-09,2015-01-11,none
Amherst_15,2015-01-16,2015-01-18,none
Chicago_15,2015-01-23,2015-01-25,none
Harvard_15,2015-01-04,2015-01-06,none
Eur-Mor_15,2015-01-10,2015-01-30,none
PASED_15,2015-01-05,2015-01-09,none
Austin_15,2015-01-09,2015-01-11,none
Seattle_15,2015-01-27,2015-01-29,none
Mexico_15,2015-01-19,2015-01-21,none
Italy_15,2015-01-23,2016-01-01,none
Panama_16,2016-01-21,2016-01-25,none
OTS_16,2016-01-07,2016-01-10,none
Atlanta_16,2016-01-12,2016-01-13,none
Peru_16,2016-01-14,2016-01-26,none
GoldCoast_16,2016-01-03,2016-01-08,none
Germany_16,2016-01-11,2016-01-15,none
Tempe_16,2016-01-02,2016-01-04,none
StLouis_16,2016-01-30,2016-01-02,none
Bergen_17,2017-01-17,2017-01-19,none
Cam-Zur_17,2017-01-22,2017-01-27,none
Swe-Esp_17,2017-01-10,2017-01-27,none
Austin_17,2017-01-02,2017-01-05,none
Qingdao_17,2017-01-05,2017-01-09,none
Tanzania_17,2017-01-27,2017-01-10,none
Berlin_18,2018-01-19,2018-01-22,none
Miami_18,2018-01-25,2018-01-07,none
Thailand_18,2018-01-11,2018-01-18,none
AthensGA_18,2018-01-23,2018-01-25,none
Jamaica_18,2018-01-09,2018-01-18,none
GVE_18,2018-01-20,2018-01-22,none
Shenzhen_18,2018-01-23,2018-01-27,none
VA-vacay_18,2018-01-17,2018-01-19,none
RudyMem_19,2019-01-22,2019-01-24,none
France_19,2019-01-24,2019-01-10,none
Kenya_19,2019-01-22,2019-01-28,none
Topsail_19,2019-01-17,2019-01-19,none
McWray_19,2019-01-27,2019-01-29,none
Kerala_19-20,2019-01-23,2020-01-09,none
Boone_20,2020-01-10,2020-01-12,none
Ecuador_20,2020-01-03,2020-01-14,none
FHL_comm,1990-01-20,1992-01-22,none
JabMus_comm,1964-01-01,1976-01-22,none
Mathura_76,1976-01-31,1976-01-02,none
Mich_rec,1963-01-01,2002-01-01,none
